Linux 5.4.0-132-generic (ku1rpaaxv008.kunet.ae) 	01/31/23 	_x86_64_	(8 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:05:01        all      0.77      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.07
00:05:01          0      1.72      0.00      0.31      0.00      0.00      0.00      0.00      0.00      0.00     97.98
00:05:01          1      0.30      0.00      0.07      0.02      0.00      0.00      0.00      0.00      0.00     99.60
00:05:01          2      1.00      0.00      0.18      0.00      0.00      0.00      0.00      0.00      0.00     98.81
00:05:01          3      0.58      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.31
00:05:01          4      0.22      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.73
00:05:01          5      0.00      0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00     99.99
00:05:01          6      0.05      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.90
00:05:01          7      2.32      0.00      0.41      0.00      0.00      0.00      0.00      0.00      0.00     97.27
00:15:01        all      0.78      0.00      0.16      0.00      0.00      0.00      0.00      0.00      0.00     99.06
00:15:01          0      1.47      0.00      0.28      0.00      0.00      0.00      0.00      0.00      0.00     98.25
00:15:01          1      0.26      0.00      0.05      0.01      0.00      0.00      0.01      0.00      0.00     99.68
00:15:01          2      0.58      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.31
00:15:01          3      1.08      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     98.72
00:15:01          4      0.37      0.00      0.07      0.00      0.00      0.00      0.00      0.00      0.00     99.56
00:15:01          5      0.06      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.92
00:15:01          6      0.05      0.00      0.05      0.01      0.00      0.00      0.00      0.00      0.00     99.89
00:15:01          7      2.40      0.00      0.48      0.00      0.00      0.00      0.00      0.00      0.00     97.13
00:25:01        all      0.82      0.00      0.16      0.00      0.00      0.00      0.00      0.00      0.00     99.02
00:25:01          0      1.68      0.00      0.33      0.00      0.00      0.00      0.00      0.00      0.00     98.00
00:25:01          1      0.20      0.00      0.05      0.02      0.00      0.00      0.00      0.00      0.00     99.72
00:25:01          2      1.02      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     98.78
00:25:01          3      0.69      0.00      0.13      0.00      0.00      0.00      0.00      0.00      0.00     99.18
00:25:01          4      0.24      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.70
00:25:01          5      0.16      0.00      0.04      0.00      0.00      0.00      0.00      0.00      0.00     99.81
00:25:01          6      0.11      0.00      0.05      0.00      0.00      0.00      0.00      0.00      0.00     99.84
00:25:01          7      2.44      0.00      0.44      0.00      0.00      0.00      0.00      0.00      0.00     97.12
00:35:01        all      0.79      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.06
00:35:01          0      1.61      0.00      0.27      0.00      0.00      0.00      0.00      0.00      0.00     98.11
00:35:01          1      0.35      0.00      0.07      0.01      0.00      0.00      0.00      0.00      0.00     99.56
00:35:01          2      1.19      0.00      0.20      0.00      0.00      0.00      0.00      0.00      0.00     98.61
00:35:01          3      0.58      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.32
00:35:01          4      0.02      0.00      0.01      0.00      0.00      0.00      0.00      0.00      0.00     99.97
00:35:01          5      0.14      0.00      0.03      0.00      0.00      0.00      0.00      0.00      0.00     99.83
00:35:01          6      0.09      0.00      0.07      0.00      0.00      0.00      0.00      0.00      0.00     99.85
00:35:01          7      2.33      0.00      0.41      0.00      0.00      0.00      0.00      0.00      0.00     97.26
00:45:01        all      0.78      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     99.08
00:45:01          0      1.44      0.00      0.24      0.00      0.00      0.00      0.00      0.00      0.00     98.32
00:45:01          1      0.18      0.00      0.05      0.01      0.00      0.00      0.00      0.00      0.00     99.76
00:45:01          2      0.70      0.00      0.13      0.00      0.00      0.00      0.00      0.00      0.00     99.17
00:45:01          3      0.91      0.00      0.17      0.00      0.00      0.00      0.00      0.00      0.00     98.92
00:45:01          4      0.50      0.00      0.09      0.00      0.00      0.00      0.00      0.00      0.00     99.41
00:45:01          5      0.10      0.00      0.03      0.00      0.00      0.00      0.00      0.00      0.00     99.87
00:45:01          6      0.07      0.00      0.04      0.00      0.00      0.00      0.00      0.00      0.00     99.89
00:45:01          7      2.31      0.00      0.42      0.00      0.00      0.00      0.00      0.00      0.00     97.27
00:55:01        all      0.78      0.00      0.14      0.00      0.00      0.00      0.00      0.00      0.00     99.08
00:55:01          0      1.54      0.00      0.27      0.00      0.00      0.00      0.01      0.00      0.00     98.19
00:55:01          1      0.44      0.00      0.08      0.01      0.00      0.00      0.00      0.00      0.00     99.47
00:55:01          2      0.53      0.00      0.11      0.00      0.00      0.00      0.00      0.00      0.00     99.37
00:55:01          3      0.90      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     98.95
00:55:01          4      0.46      0.00      0.09      0.00      0.00      0.00      0.00      0.00      0.00     99.45
00:55:01          5      0.05      0.00      0.02      0.00      0.00      0.00      0.00      0.00      0.00     99.93
00:55:01          6      0.07      0.00      0.04      0.00      0.00      0.00      0.00      0.00      0.00     99.88
00:55:01          7      2.22      0.00      0.42      0.00      0.00      0.00      0.00      0.00      0.00     97.36
01:05:01        all      0.80      0.00      0.15      0.00      0.00      0.00      0.00      0.00      0.00     99.05
01:05:01          0      1.48      0.00      0.22      0.00      0.00      0.00      0.00      0.00      0.00     98.29
01:05:01          1      0.43      0.00      0.09      0.01      0.00      0.00      0.00      0.00      0.00     99.47
01:05:01          2      0.26      0.00      0.06      0.00      0.00      0.00      0.00      0.00      0.00     99.68
